subject_id,class,rank,feature,coefficient,abs_coefficient
211-000532,SAD,9,Cz_Alpha,-0.4143524467945099,0.4143524467945099
211-000532,SAD,10,O2_Alpha,-0.4026329219341278,0.4026329219341278
211-000532,SAD,11,CP2_Beta,-0.4025639593601227,0.4025639593601227
211-000532,SAD,12,Oz_Alpha,-0.4014727473258972,0.4014727473258972
211-000532,SAD,13,AlphaAsym_Fp2-Fp1,-0.3611493706703186,0.3611493706703186
211-000532,SAD,14,POz_Alpha,-0.311594694852829,0.311594694852829
211-000532,SAD,15,F2_Beta,0.31046611070632935,0.31046611070632935
211-000533,JOY,1,CP2_Beta,1.0597726106643677,1.0597726106643677
211-000533,JOY,2,FC5_Beta,-0.7809433341026306,0.7809433341026306
211-000533,JOY,3,AF8_Beta,0.4630959928035736,0.4630959928035736
211-000533,JOY,4,FC1_Beta,-0.4319709539413452,0.4319709539413452
211-000533,JOY,5,C6_Beta,-0.3767929673194885,0.3767929673194885
211-000533,JOY,6,F5_Beta,0.35744956135749817,0.35744956135749817
211-000533,JOY,7,CP5_Beta,-0.3552466630935669,0.3552466630935669
211-000533,JOY,8,FC6_Alpha,-0.24220092594623566,0.24220092594623566
211-000533,JOY,9,AF7_Beta,0.2365606725215912,0.2365606725215912
211-000533,JOY,10,FC5_Alpha,-0.22583264112472534,0.22583264112472534
211-000533,JOY,11,CPz_Beta,-0.2220313400030136,0.2220313400030136
211-000533,JOY,12,AlphaAsym_T8-T7,0.20700319111347198,0.20700319111347198
211-000533,JOY,13,AlphaAsym_F6-F5,-0.15664145350456238,0.15664145350456238
211-000533,JOY,14,AlphaAsym_C4-C3,0.13660353422164917,0.13660353422164917
211-000533,JOY,15,O1_Beta,-0.13444089889526367,0.13444089889526367
211-000533,NEUTRO,1,F5_Beta,-0.8657680749893188,0.8657680749893188
211-000533,NEUTRO,2,O1_Beta,0.5103541016578674,0.5103541016578674
211-000533,NEUTRO,3,CP5_Beta,0.48400330543518066,0.48400330543518066
211-000533,NEUTRO,4,FC3_Beta,-0.370613694190979,0.370613694190979
211-000533,NEUTRO,5,FC3_Alpha,-0.35575753450393677,0.35575753450393677
211-000533,NEUTRO,6,F5_Alpha,-0.3162190616130829,0.3162190616130829
211-000533,NEUTRO,7,PO8_Alpha,-0.24676208198070526,0.24676208198070526
211-000533,NEUTRO,8,F3_Alpha,-0.24441221356391907,0.24441221356391907
211-000533,NEUTRO,9,AlphaAsym_O2-O1,-0.20018967986106873,0.20018967986106873
211-000533,NEUTRO,10,F7_Beta,-0.1979217529296875,0.1979217529296875
211-000533,NEUTRO,11,AlphaAsym_F6-F5,0.1722365915775299,0.1722365915775299
211-000533,NEUTRO,12,CP2_Beta,-0.17175786197185516,0.17175786197185516
211-000533,NEUTRO,13,AF8_Beta,0.16461040079593658,0.16461040079593658
211-000533,NEUTRO,14,AlphaAsym_CP6-CP5,-0.11796940118074417,0.11796940118074417
211-000533,NEUTRO,15,FC1_Alpha,0.09599322080612183,0.09599322080612183
211-000533,SAD,1,AF8_Beta,-1.2897531986236572,1.2897531986236572
211-000533,SAD,2,FC5_Beta,0.4543651044368744,0.4543651044368744
211-000533,SAD,3,AlphaAsym_C4-C3,-0.4242440164089203,0.4242440164089203
211-000533,SAD,4,FC3_Beta,0.32529544830322266,0.32529544830322266
211-000533,SAD,5,T7_Beta,0.29712915420532227,0.29712915420532227
211-000533,SAD,6,F6_Beta,0.2601854205131531,0.2601854205131531
211-000533,SAD,7,CP2_Beta,-0.22656245529651642,0.22656245529651642
211-000533,SAD,8,CP3_Beta,-0.18412916362285614,0.18412916362285614
211-000533,SAD,9,P3_Alpha,0.1630755066871643,0.1630755066871643
211-000533,SAD,10,AF7_Beta,-0.1467326134443283,0.1467326134443283
211-000533,SAD,11,Pz_Beta,-0.14353439211845398,0.14353439211845398
211-000533,SAD,12,FCz_Beta,-0.13043364882469177,0.13043364882469177
211-000533,SAD,13,P3_Beta,0.12942902743816376,0.12942902743816376
211-000533,SAD,14,FC6_Alpha,0.11954361945390701,0.11954361945390701
211-000533,SAD,15,FT7_Beta,0.11301199346780777,0.11301199346780777
211-000535,JOY,1,PO7_Beta,-0.6403799653053284,0.6403799653053284
211-000535,JOY,2,FT7_Beta,0.6297869682312012,0.6297869682312012
211-000535,JOY,3,PO7_Alpha,-0.5016127824783325,0.5016127824783325
211-000535,JOY,4,Fpz_Beta,-0.4693109095096588,0.4693109095096588
211-000535,JOY,5,AF4_Beta,0.30076465010643005,0.30076465010643005
211-000535,JOY,6,F5_Beta,-0.2763831913471222,0.2763831913471222
211-000535,JOY,7,TP8_Beta,-0.25793129205703735,0.25793129205703735
211-000535,JOY,8,FC6_Beta,-0.22245308756828308,0.22245308756828308
211-000535,JOY,9,AlphaAsym_F8-F7,-0.16515032947063446,0.16515032947063446
211-000535,JOY,10,PO4_Beta,0.1423497200012207,0.1423497200012207
211-000535,JOY,11,FT7_Alpha,0.12825140357017517,0.12825140357017517
211-000535,JOY,12,CP3_Beta,0.12366779148578644,0.12366779148578644
211-000535,JOY,13,P4_Alpha,-0.1186230257153511,0.1186230257153511
211-000535,JOY,14,AlphaAsym_AF4-AF3,0.08479424566030502,0.08479424566030502
211-000535,JOY,15,FT8_Beta,-0.07513704150915146,0.07513704150915146
211-000535,NEUTRO,1,Oz_Beta,0.6152026057243347,0.6152026057243347
211-000535,NEUTRO,2,AF8_Beta,0.601460337638855,0.601460337638855
211-000535,NEUTRO,3,Fp1_Beta,-0.4795704483985901,0.4795704483985901
211-000535,NEUTRO,4,Fp1_Alpha,-0.37350040674209595,0.37350040674209595
211-000535,NEUTRO,5,Oz_Alpha,0.35335466265678406,0.35335466265678406
211-000535,NEUTRO,6,C4_Beta,0.27441486716270447,0.27441486716270447
211-000535,NEUTRO,7,FT8_Beta,0.2516562044620514,0.2516562044620514
211-000535,NEUTRO,8,AlphaAsym_PO8-PO7,-0.24431023001670837,0.24431023001670837
211-000535,NEUTRO,9,PO6_Alpha,0.220433309674263,0.220433309674263
211-000535,NEUTRO,10,CPz_Alpha,0.20238018035888672,0.20238018035888672
211-000535,NEUTRO,11,CP1_Beta,-0.19205635786056519,0.19205635786056519
211-000535,NEUTRO,12,F2_Beta,-0.19010749459266663,0.19010749459266663
211-000535,NEUTRO,13,CP5_Alpha,0.1869395226240158,0.1869395226240158
211-000535,NEUTRO,14,FC4_Beta,0.1846706122159958,0.1846706122159958
211-000535,NEUTRO,15,Fp2_Alpha,-0.1638450026512146,0.1638450026512146
211-000535,SAD,1,Fp1_Alpha,0.6483097672462463,0.6483097672462463
211-000535,SAD,2,Fpz_Alpha,0.6429274082183838,0.6429274082183838
211-000535,SAD,3,Fp2_Beta,0.5921124219894409,0.5921124219894409
211-000535,SAD,4,Fp1_Beta,0.5884820818901062,0.5884820818901062
211-000535,SAD,5,Cz_Beta,-0.5518747568130493,0.5518747568130493
211-000535,SAD,6,Fpz_Beta,0.36083757877349854,0.36083757877349854
211-000535,SAD,7,P4_Beta,0.25112783908843994,0.25112783908843994
211-000535,SAD,8,T7_Beta,-0.16846345365047455,0.16846345365047455
211-000535,SAD,9,P5_Beta,-0.1267770230770111,0.1267770230770111
211-000535,SAD,10,AF8_Alpha,0.12464610487222672,0.12464610487222672
211-000535,SAD,11,AlphaAsym_F8-F7,0.1227269098162651,0.1227269098162651
211-000535,SAD,12,F7_Alpha,-0.12265736609697342,0.12265736609697342
211-000535,SAD,13,Fp2_Alpha,0.11885941028594971,0.11885941028594971
211-000535,SAD,14,F7_Beta,-0.0849546492099762,0.0849546492099762
211-000535,SAD,15,Oz_Beta,-0.0736055076122284,0.0736055076122284
211-000536,JOY,1,FC1_Beta,-0.6419097185134888,0.6419097185134888
211-000536,JOY,2,AlphaAsym_FC2-FC1,0.6414732336997986,0.6414732336997986
211-000536,JOY,3,FC4_Alpha,-0.5000643730163574,0.5000643730163574
211-000536,JOY,4,FC4_Beta,-0.4996880292892456,0.4996880292892456
211-000536,JOY,5,CP2_Beta,-0.30283042788505554,0.30283042788505554
211-000536,JOY,6,P1_Beta,0.29504045844078064,0.29504045844078064
211-000536,JOY,7,C4_Beta,0.2865102291107178,0.2865102291107178
211-000536,JOY,8,Oz_Alpha,-0.25538575649261475,0.25538575649261475
211-000536,JOY,9,TP8_Beta,0.24514546990394592,0.24514546990394592
211-000536,JOY,10,AlphaAsym_FC6-FC5,0.2148461490869522,0.2148461490869522
211-000536,JOY,11,FC1_Alpha,-0.21191833913326263,0.21191833913326263
211-000536,JOY,12,AlphaAsym_FC4-FC3,-0.20885628461837769,0.20885628461837769
211-000536,JOY,13,AlphaAsym_TP8-TP7,0.15970103442668915,0.15970103442668915
211-000536,JOY,14,AlphaAsym_CP2-CP1,-0.13691173493862152,0.13691173493862152
211-000536,JOY,15,P5_Beta,-0.13284264504909515,0.13284264504909515
211-000536,NEUTRO,1,FC4_Beta,0.600511372089386,0.600511372089386
211-000536,NEUTRO,2,FCz_Beta,-0.5066019296646118,0.5066019296646118
211-000536,NEUTRO,3,P1_Beta,-0.5057194232940674,0.5057194232940674
211-000536,NEUTRO,4,FCz_Alpha,-0.4140874147415161,0.4140874147415161
211-000536,NEUTRO,5,PO6_Beta,-0.384618878364563,0.384618878364563
211-000536,NEUTRO,6,FC4_Alpha,0.3588036000728607,0.3588036000728607
211-000536,NEUTRO,7,FC5_Beta,0.28333914279937744,0.28333914279937744
211-000536,NEUTRO,8,T7_Beta,0.2810229957103729,0.2810229957103729
211-000536,NEUTRO,9,TP7_Beta,0.26311811804771423,0.26311811804771423
211-000536,NEUTRO,10,TP7_Alpha,0.2349116951227188,0.2349116951227188
211-000536,NEUTRO,11,AlphaAsym_C2-C1,0.2200847864151001,0.2200847864151001
211-000536,NEUTRO,12,AlphaAsym_FC4-FC3,0.20907029509544373,0.20907029509544373
211-000536,NEUTRO,13,AlphaAsym_P8-P7,-0.19535362720489502,0.19535362720489502
211-000536,NEUTRO,14,P7_Alpha,0.17143096029758453,0.17143096029758453
211-000536,NEUTRO,15,AlphaAsym_CP6-CP5,-0.16893735527992249,0.16893735527992249
211-000536,SAD,1,Fp1_Alpha,-0.5545685887336731,0.5545685887336731
211-000536,SAD,2,AlphaAsym_CP4-CP3,0.4558489918708801,0.4558489918708801
211-000536,SAD,3,CP2_Beta,0.2817050516605377,0.2817050516605377
211-000536,SAD,4,PO3_Beta,-0.24376629292964935,0.24376629292964935
211-000536,SAD,5,PO3_Alpha,-0.24036799371242523,0.24036799371242523
211-000536,SAD,6,Fp1_Beta,-0.21938739717006683,0.21938739717006683
211-000536,SAD,7,POz_Beta,-0.1869848221540451,0.1869848221540451
211-000536,SAD,8,Fpz_Alpha,-0.1746753305196762,0.1746753305196762
211-000536,SAD,9,AlphaAsym_Fp2-Fp1,0.15393853187561035,0.15393853187561035
211-000536,SAD,10,CP4_Beta,0.1240975633263588,0.1240975633263588
211-000536,SAD,11,FC1_Beta,0.1058683693408966,0.1058683693408966
211-000536,SAD,12,AlphaAsym_P2-P1,-0.10083756595849991,0.10083756595849991
211-000536,SAD,13,FT8_Beta,-0.0665617287158966,0.0665617287158966
211-000536,SAD,14,CP2_Alpha,0.06565253436565399,0.06565253436565399
