classifier,subject_id,acc_media,acc_std,f1_media,f1_std,n_epocas
logReg,211-000531,1.0,0.0,1.0,0.0,62
logReg,211-000532,0.9023079729976283,0.042365405751804024,0.9009492265112133,0.04382316728463287,144
logReg,211-000533,0.9706349206349205,0.043150086409740294,0.970125313283208,0.04433934596544263,138
logReg,211-000535,0.9218045112781954,0.07191541427352763,0.9,0.09395296958493202,101
logReg,211-000536,0.9546296296296297,0.07174581714003897,0.9553946706887885,0.06885378912232903,124
logReg,211-000537,0.992,0.016000000000000014,0.9916339869281046,0.016732026143790834,131
logReg,211-000539,0.9259259259259259,0.06197481678030191,0.9245148819761824,0.061023423809817845,132
logReg,211-000540,0.9904761904761905,0.019047619047619067,0.9874643874643875,0.025071225071225098,102
logReg,211-000541,0.9925925925925926,0.014814814814814836,0.9929824561403509,0.01403508771929829,127
logReg,211-000543,0.8077540594781973,0.0712291574486341,0.7908587376887283,0.08748026290220827,141
logReg,211-000544,0.9923076923076923,0.015384615384615375,0.9913630229419702,0.017273954116059368,120
logReg,211-000545,1.0,0.0,1.0,0.0,96
logReg,211-000546,1.0,0.0,1.0,0.0,141
logReg,211-000547,0.9928571428571429,0.01428571428571428,0.9929824561403509,0.01403508771929829,144
logReg,211-000548,0.8878787878787879,0.0761018768600718,0.8776925677235277,0.08222680301534792,106
logReg,211-000549,1.0,0.0,1.0,0.0,139
logReg,211-000550,0.9866666666666667,0.02666666666666666,0.9897435897435898,0.020512820512820485,81
logReg,211-000552,0.9478260869565217,0.08430747578115354,0.9498039215686275,0.08111150611101833,116
logReg,211-000553,0.9137229437229438,0.01836518543280557,0.9166011766011767,0.018029235493476733,104
logReg,211-000554,0.8251428571428571,0.09611897389619357,0.8147938622551625,0.10714663655529116,137
logReg,211-000555,0.8049857549857549,0.058439986475191996,0.7944662474720356,0.06356972311089727,133
logReg,211-000556,0.8968421052631579,0.11959534728162606,0.8835703185703185,0.13413828824410892,102
logReg,211-000557,1.0,0.0,1.0,0.0,133
decisionTree,211-000531,0.9384615384615385,0.07536891516255934,0.9126984126984127,0.1075436360779742,62
decisionTree,211-000532,0.652548804962598,0.10466852299468463,0.6168197941960225,0.10854640123652529,144
decisionTree,211-000533,0.8185185185185185,0.09623740858888172,0.8184649532327551,0.0937356025945171,138
decisionTree,211-000535,0.7949874686716792,0.07738478271242043,0.788265264147617,0.08202729384737804,101
decisionTree,211-000536,0.9136296296296296,0.05879326034739946,0.9095387429907553,0.05636716583667265,124
decisionTree,211-000537,0.8674285714285714,0.09474089262136957,0.8675866135928055,0.09484582890330752,131
decisionTree,211-000539,0.9027777777777777,0.1058151453863826,0.9001490654741428,0.10553264866287622,132
decisionTree,211-000540,0.9408521303258144,0.05703282727772035,0.9245962127541075,0.07729267444723063,102
decisionTree,211-000541,1.0,0.0,1.0,0.0,127
decisionTree,211-000543,0.7523535851122058,0.059952710536512195,0.7491014300457024,0.0564551061213598,141
decisionTree,211-000544,0.8763612040133779,0.06910221013929982,0.8509769521843825,0.10201511252818099,120
decisionTree,211-000545,0.9277089783281733,0.06723143854353746,0.9272779141509793,0.07506339275685911,96
decisionTree,211-000546,0.9800000000000001,0.03999999999999999,0.9799043062200956,0.040191387559808646,141
decisionTree,211-000547,0.937089947089947,0.05469179879783731,0.9367011732229124,0.05492153816767736,144
decisionTree,211-000548,0.752987012987013,0.061382533718782974,0.7331309041835358,0.07038171472867111,106
decisionTree,211-000549,0.8141798941798942,0.04773577697673021,0.8100650716796901,0.050922255000754965,139
decisionTree,211-000550,0.9866666666666667,0.02666666666666666,0.9815384615384616,0.036923076923076927,81
decisionTree,211-000552,0.8456521739130436,0.10658826671418492,0.845468697109564,0.10917180507027864,116
decisionTree,211-000553,0.7411255411255411,0.07440297912071175,0.7425112950345147,0.07634835357412048,104
decisionTree,211-000554,0.6565714285714287,0.053616933054811,0.645268556443681,0.052641627026643274,137
decisionTree,211-000555,0.6998168498168498,0.07374473383202422,0.6810973280619262,0.08614927977785132,133
decisionTree,211-000556,0.7742014126224653,0.05993217134207289,0.7525235331117685,0.0663177372387013,102
decisionTree,211-000557,0.9925925925925926,0.014814814814814836,0.9925696594427244,0.014860681114551078,133
