class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,O2,Delta,0.00521410611203351,0.0044560062837908304,23
0,JOY,O2,Theta,0.008880182153322709,0.007493863791181299,23
0,JOY,O2,Alpha,0.00458385962203515,0.004307923132124591,23
0,JOY,O2,Beta,0.012456097892853464,0.008288703905008325,23
0,JOY,O2,Gamma,0.03155246145639221,0.02439196291361935,23
0,JOY,O1,Delta,0.006159983177625153,0.006159983177625153,23
0,JOY,O1,Theta,0.011601610981918977,0.011411031466532617,23
0,JOY,O1,Alpha,0.008057291350670211,0.007674997155225569,23
0,JOY,O1,Beta,0.04518239196207345,0.036044313377723944,23
0,JOY,O1,Gamma,0.052226410171834305,0.04571228870132209,23
0,JOY,Oz,Delta,0.0014537108566961417,0.001452140535935984,23
0,JOY,Oz,Theta,0.006745925675286307,0.006034291802143713,23
0,JOY,Oz,Alpha,0.018512745634893236,0.016465684607314044,23
0,JOY,Oz,Beta,0.04382922580081015,0.04076690570351814,23
0,JOY,Oz,Gamma,0.030014234928285588,0.02592026683308345,23
0,JOY,Pz,Delta,0.009273182678148473,0.009273182678148473,23
0,JOY,Pz,Theta,0.004633984186732505,0.004633984186732505,23
0,JOY,Pz,Alpha,0.003127058113194548,0.0024010609636726347,23
0,JOY,Pz,Beta,0.013785242089338066,0.013624718635423496,23
0,JOY,Pz,Gamma,0.011568306807918647,0.011568306807918647,23
0,JOY,P4,Delta,0.0,0.0,23
0,JOY,P4,Theta,0.0,0.0,23
0,JOY,P4,Alpha,0.0007057006751759508,0.00044713534673700514,23
0,JOY,P4,Beta,0.002893284086893363,0.0027109010452870184,23
0,JOY,P4,Gamma,0.003078037827238708,0.0025027132054374263,23
0,JOY,CP4,Delta,0.005074432848890763,0.005074432848890763,23
0,JOY,CP4,Theta,0.00422153259690373,0.003483310609243127,23
0,JOY,CP4,Alpha,0.0,0.0,23
0,JOY,CP4,Beta,0.00929441449481463,0.00929441449481463,23
0,JOY,CP4,Gamma,0.010759584209153879,0.009828193470148513,23
0,JOY,P8,Delta,0.008264858516373801,0.008008127428263387,23
0,JOY,P8,Theta,0.003438041369447031,0.0032886913723450774,23
0,JOY,P8,Alpha,0.0,0.0,23
0,JOY,P8,Beta,0.01355205566953849,0.012491308839267764,23
0,JOY,P8,Gamma,0.01227472227321567,0.010339990728773158,23
0,JOY,C4,Delta,0.0096183406998086,0.009273008408626927,23
0,JOY,C4,Theta,0.003903265322365255,0.00299360501725464,23
0,JOY,C4,Alpha,0.0003126853783354325,5.323940580373145e-05,23
0,JOY,C4,Beta,0.01053693068315035,0.008249546846297848,23
0,JOY,C4,Gamma,0.018653718289555896,-0.006065287133020394,23
0,JOY,TP8,Delta,0.0,0.0,23
0,JOY,TP8,Theta,0.002878469881476387,0.0028220888119936515,23
0,JOY,TP8,Alpha,0.011862225501480788,0.011610077196117044,23
0,JOY,TP8,Beta,0.012785973327429078,0.010243105409977681,23
0,JOY,TP8,Gamma,0.004534861674900855,0.003136037383789042,23
0,JOY,T8,Delta,0.00376467723155276,0.003356990333015249,23
0,JOY,T8,Theta,0.014575613973754332,0.013463266455542921,23
0,JOY,T8,Alpha,0.0038389403487495808,0.0035941346798923014,23
0,JOY,T8,Beta,0.02983296119519782,0.02961523046678395,23
