scope,subject_id,space,label_type,n_samples,n_labels,silhouette,centroid_ratio,centroid_distance,within_spread,pc1_var,pc2_var
global,all,original,condition,2754,3,-0.0050324080511927605,0.10437546972177981,1.188170313835144,11.38361644744873,,
global,all,original,subject,2754,23,0.30848193168640137,2.4573546175607395,13.80792236328125,5.619019031524658,,
global,all,pca_2d,condition,2754,3,-0.01414905022829771,0.09224977035980833,0.7176030278205872,7.778913974761963,0.5066730976104736,0.0676189735531807
global,all,pca_2d,subject,2754,23,-0.08633347600698471,2.8133478261452365,9.371768951416016,3.3311803340911865,0.5066730976104736,0.0676189735531807
global,all,lda_2d,condition,2754,3,0.11016054463579955,1.340038213171609,1.5813890474443955,1.1801074267130158,,
global,all,lda_2d,subject,2754,23,-0.20800366428427958,0.4741584452508608,0.6465470903999425,1.3635675940716454,,
within_subject,211-000531,original,condition,62,3,0.21829529106616974,1.1604091173528177,11.64167308807373,10.032386779785156,,
within_subject,211-000531,pca_2d,condition,62,3,0.19340938329696655,1.227632231330798,8.598685264587402,7.004284381866455,0.3790476322174072,0.2027580440044403
within_subject,211-000531,lda_2d,condition,62,3,0.926738240784771,21.37269639034008,17.64569440311212,0.8256185406286011,,
within_subject,211-000532,original,condition,144,3,0.017287101596593857,0.4757254108134438,5.050664901733398,10.616765022277832,,
within_subject,211-000532,pca_2d,condition,144,3,-0.009879577904939651,0.46224964402686164,3.374783754348755,7.300781726837158,0.5087103247642517,0.08305991441011429
within_subject,211-000532,lda_2d,condition,144,3,0.7686067109316423,9.70218813957636,8.529783576863997,0.8791608093086042,,
within_subject,211-000533,original,condition,138,3,0.10142502933740616,0.9004871476229234,8.688591957092285,9.648768424987793,,
within_subject,211-000533,pca_2d,condition,138,3,0.12491368502378464,1.2674158611320352,7.268344879150391,5.734775066375732,0.4386644959449768,0.1392909735441208
within_subject,211-000533,lda_2d,condition,138,3,0.8104643094473992,8.974060499472882,8.724891735365324,0.9722345571292763,,
within_subject,211-000535,original,condition,101,3,0.053821198642253876,0.6789471010567054,7.826136112213135,11.526871681213379,,
within_subject,211-000535,pca_2d,condition,101,3,0.07196757942438126,1.380972351367147,6.3545074462890625,4.601473331451416,0.1904434859752655,0.0830003023147583
within_subject,211-000535,lda_2d,condition,101,3,0.7911327442910551,7.92823417972752,8.490351871430562,1.0709007427066732,,
within_subject,211-000536,original,condition,124,3,0.08238577842712402,0.9059850758612297,9.015334129333496,9.9508638381958,,
within_subject,211-000536,pca_2d,condition,124,3,0.09745997935533524,1.29112392741572,7.199667453765869,5.576279163360596,0.4013364017009735,0.1612570434808731
within_subject,211-000536,lda_2d,condition,124,3,0.813517210777433,10.57363753565097,10.293806299067588,0.9735350076404216,,
within_subject,211-000537,original,condition,131,3,0.12507285177707672,0.8505109540408186,8.484565734863281,9.975845336914062,,
within_subject,211-000537,pca_2d,condition,131,3,0.14935103058815002,1.1492814191097878,6.413477420806885,5.580423831939697,0.32203197479248047,0.17303632199764252
within_subject,211-000537,lda_2d,condition,131,3,0.8670948321856659,13.833377645570744,12.61283622057712,0.9117683723903643,,
within_subject,211-000539,original,condition,132,3,0.12225278466939926,0.9465366909668295,9.33535099029541,9.862640380859375,,
within_subject,211-000539,pca_2d,condition,132,3,0.3720673620700836,2.0025645012806623,8.836657524108887,4.412670612335205,0.38102206587791443,0.11691223084926605
within_subject,211-000539,lda_2d,condition,132,3,0.8163165284669971,13.093039351852825,12.5046798119309,0.9550631809678509,,
within_subject,211-000540,original,condition,102,3,0.2047290951013565,1.242640328875032,12.400076866149902,9.978814125061035,,
within_subject,211-000540,pca_2d,condition,102,3,0.4753422737121582,2.7601253193492137,12.032593727111816,4.359437465667725,0.355803906917572,0.12047994136810303
within_subject,211-000540,lda_2d,condition,102,3,0.8792787437117755,12.853975378808807,13.93554945447886,1.0841431575666693,,
within_subject,211-000541,original,condition,127,3,0.021458564326167107,0.7386680137608268,7.298142910003662,9.880139350891113,,
within_subject,211-000541,pca_2d,condition,127,3,-0.05984289571642876,0.701158297153832,5.351302623748779,7.632089138031006,0.6205601096153259,0.1045316681265831
within_subject,211-000541,lda_2d,condition,127,3,0.8645067943284901,11.572865143548986,11.118853898707476,0.9607693307386235,,
within_subject,211-000543,original,condition,141,3,0.057555995881557465,0.7957905945157426,8.166646003723145,10.26230525970459,,
within_subject,211-000543,pca_2d,condition,141,3,0.08159274607896805,1.1454988490397955,7.752888202667236,6.76813268661499,0.46235063672065735,0.14429084956645966
within_subject,211-000543,lda_2d,condition,141,3,0.6180107891012404,6.10265540085328,6.137637291976997,1.0057322409377274,,
within_subject,211-000544,original,condition,120,3,0.09868578612804413,0.9328420256592401,10.126348495483398,10.85537338256836,,
within_subject,211-000544,pca_2d,condition,120,3,0.20283009111881256,1.7829700105080601,9.279038429260254,5.204259395599365,0.2642620801925659,0.14365611970424652
within_subject,211-000544,lda_2d,condition,120,3,0.8516372648925846,10.076687708893282,10.308321563073646,1.022987102593827,,
within_subject,211-000545,original,condition,96,3,0.06533769518136978,0.785993682815631,8.521514892578125,10.84170913696289,,
within_subject,211-000545,pca_2d,condition,96,3,0.07363402843475342,1.1043983312974657,6.757062911987305,6.118320465087891,0.3643372356891632,0.09029687196016312
within_subject,211-000545,lda_2d,condition,96,3,0.8347234368011893,9.36148613166796,9.275111549306624,0.9907734112772427,,
within_subject,211-000546,original,condition,141,3,0.18430937826633453,1.387911531228575,11.938050270080566,8.601449012756348,,
within_subject,211-000546,pca_2d,condition,141,3,0.4180494248867035,2.732391045184175,11.161831855773926,4.085005283355713,0.4764038324356079,0.1394283026456833
within_subject,211-000546,lda_2d,condition,141,3,0.905335895327056,24.939122558035056,24.121288396360598,0.9672067788352922,,
within_subject,211-000547,original,condition,144,3,0.06903025507926941,0.6879997011405423,8.096779823303223,11.768580436706543,,
