condition,band,mean_abs_shap,percentage
JOY,Alpha,0.8266377036561935,23.324032504701282
JOY,Beta,2.7175080331051196,76.6759674952987
NEUTRO,Alpha,0.9705890541529004,25.073525815916486
NEUTRO,Beta,2.9003825087566044,74.92647418408353
SAD,Alpha,1.1544804560301278,27.323347458540777
SAD,Beta,3.0707721700687953,72.67665254145919
