condition,cluster,band,mean_abs_shap,percentage_total_bandpower,n_channels
JOY,temporal_left,Alpha,0.04308340968363836,1.2156218418661457,8
JOY,temporal_left,Beta,0.21642283698774656,6.106488080975941,8
JOY,temporal_right,Alpha,0.10331041672183386,2.9149596093144936,8
JOY,temporal_right,Beta,0.2803356779202695,7.909823656869254,8
JOY,frontal_inferior_left,Alpha,0.015511971419525846,0.43767871221065785,3
JOY,frontal_inferior_left,Beta,0.13477160344340758,3.8026541077445546,3
JOY,frontal_bilateral,Alpha,0.2827545999978347,7.978074859196381,15
JOY,frontal_bilateral,Beta,0.9913548124440268,27.971615336279594,15
JOY,centro_parietal_left,Alpha,0.017010421348220398,0.47995829211483676,2
JOY,centro_parietal_left,Beta,0.03376344570000152,0.9526539879495757,2
JOY,parietal_midline,Alpha,0.0349957126372713,0.9874230699455052,3
JOY,parietal_midline,Beta,0.08940700001140559,2.52266714328477,3
JOY,occipital,Alpha,0.15657754610339125,4.417920642464152,8
JOY,occipital,Beta,0.5431369801296322,15.32490536424605,8
JOY,other,Alpha,0.17339362574447775,4.892395477589111,15
JOY,other,Beta,0.4283156764686297,12.08515981794897,15
NEUTRO,temporal_left,Alpha,0.08160684802477233,2.1081748263589644,8
NEUTRO,temporal_left,Beta,0.43157747705393845,11.149073818810379,8
NEUTRO,temporal_right,Alpha,0.07128466584531014,1.8415187166017584,8
NEUTRO,temporal_right,Beta,0.17251404556561029,4.456608444727118,8
NEUTRO,frontal_inferior_left,Alpha,0.0647019650044418,1.671465779402689,3
NEUTRO,frontal_inferior_left,Beta,0.24188401588887007,6.248664242500013,3
NEUTRO,frontal_bilateral,Alpha,0.40967950206908027,10.583376690092667,15
NEUTRO,frontal_bilateral,Beta,1.099193567558021,28.39580579950951,15
NEUTRO,centro_parietal_left,Alpha,0.017385978718352305,0.44913734022072316,2
NEUTRO,centro_parietal_left,Beta,0.037206599676485055,0.9611695428865353,2
NEUTRO,parietal_midline,Alpha,0.07784453229645596,2.0109817659819327,3
NEUTRO,parietal_midline,Beta,0.17411423950326294,4.497946747312062,3
NEUTRO,occipital,Alpha,0.10613168545175991,2.7417325011808944,8
NEUTRO,occipital,Beta,0.3050836005139389,7.881318567079103,8
NEUTRO,other,Alpha,0.14195387674272794,3.6671381960768628,15
NEUTRO,other,Beta,0.4388089629964771,11.335887021258792,15
SAD,temporal_left,Alpha,0.11757489696693786,2.7826714133183557,8
SAD,temporal_left,Beta,0.3553699315827016,8.4106197434828,8
SAD,temporal_right,Alpha,0.13243723298809354,3.1344216478333915,8
SAD,temporal_right,Beta,0.4027776918841081,9.532629821852408,8
SAD,frontal_inferior_left,Alpha,0.1338714613255917,3.1683658510424277,3
SAD,frontal_inferior_left,Beta,0.2614533414277612,6.187874774937539,3
SAD,frontal_bilateral,Alpha,0.3354574952934371,7.939347655128424,15
SAD,frontal_bilateral,Beta,0.9460933600916008,22.391403397933782,15
SAD,centro_parietal_left,Alpha,0.03080742279086218,0.7291261734403309,2
SAD,centro_parietal_left,Beta,0.03490101468635813,0.826010129448317,2
SAD,parietal_midline,Alpha,0.038125070311542754,0.9023145758444918,3
SAD,parietal_midline,Beta,0.07484147197858433,1.7712898754573096,3
SAD,occipital,Alpha,0.1496618712962966,3.5420810195312713,8
SAD,occipital,Beta,0.49001034483013617,11.597184551839474,8
SAD,other,Alpha,0.21654500505736632,5.125019122402089,15
SAD,other,Beta,0.5053250135875444,11.959640246507558,15
