class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,144,AlphaAsym_P4-P3,AlphaAsym,,,P4-P3,,0.001343989329840464,0.006116487605775485,0.0012353484775825276,0.006023843343977591,23
0,JOY,145,AlphaAsym_P2-P1,AlphaAsym,,,P2-P1,,0.0006529951996777553,0.003131654963186463,-0.00015227857986730795,0.000730302413652929,23
0,JOY,146,AlphaAsym_PO8-PO7,AlphaAsym,,,PO8-PO7,,0.05043230189095166,0.12168395676205575,0.03586804659086952,0.10337265274031496,23
0,JOY,147,AlphaAsym_PO6-PO5,AlphaAsym,,,PO6-PO5,,0.005473684361177038,0.017314640496117324,0.004326901584323065,0.014321119438490007,23
0,JOY,148,AlphaAsym_PO4-PO3,AlphaAsym,,,PO4-PO3,,0.011402778340044176,0.04302369984037642,0.0055932007214678295,0.03736333044338641,23
0,JOY,149,AlphaAsym_O2-O1,AlphaAsym,,,O2-O1,,0.0760918843701456,0.2106762948917938,0.07116589435554425,0.2020196148200092,23
1,NEUTRO,0,O2_Alpha,bandpower,O2,Alpha,,occipital,0.02159500365295499,0.07414244433049359,0.010871359031142674,0.06074422523993289,23
1,NEUTRO,1,O2_Beta,bandpower,O2,Beta,,occipital,0.04794850858405048,0.17233469245084956,0.02047616743867056,0.05724652384364932,23
1,NEUTRO,2,O1_Alpha,bandpower,O1,Alpha,,occipital,0.010392725377614726,0.03397297286915408,0.005362315889815041,0.01963846676186829,23
1,NEUTRO,3,O1_Beta,bandpower,O1,Beta,,occipital,0.05475167583506963,0.10649329630411754,0.0346492208074672,0.08427207069475944,23
1,NEUTRO,4,Oz_Alpha,bandpower,Oz,Alpha,,occipital,0.014105690918683139,0.05406891584290411,0.00540110448487378,0.029156906482879198,23
1,NEUTRO,5,Oz_Beta,bandpower,Oz,Beta,,occipital,0.06543675711980575,0.121969461502705,0.04070168479641123,0.08270880157952759,23
1,NEUTRO,6,Pz_Alpha,bandpower,Pz,Alpha,,parietal_midline,0.0462619229424631,0.20322069942696402,0.0424759871869475,0.203491784624149,23
1,NEUTRO,7,Pz_Beta,bandpower,Pz,Beta,,parietal_midline,0.11059770745525027,0.45238369294543423,0.10663640686219397,0.45316385098010536,23
1,NEUTRO,8,P4_Alpha,bandpower,P4,Alpha,,other,0.0026205371477722545,0.007317243836219899,0.0011347299983323303,0.003697214271812168,23
1,NEUTRO,9,P4_Beta,bandpower,P4,Beta,,other,0.01228060974759348,0.03141361050519456,0.006292552836138745,0.015307406577072953,23
1,NEUTRO,10,CP4_Alpha,bandpower,CP4,Alpha,,temporal_right,0.0013997130059705874,0.0047534121820461935,0.0004864886394610042,0.0023675291610005408,23
1,NEUTRO,11,CP4_Beta,bandpower,CP4,Beta,,temporal_right,0.013318013727657906,0.024064601140860207,0.007118352035494343,0.018509719659166878,23
1,NEUTRO,12,P8_Alpha,bandpower,P8,Alpha,,temporal_right,0.004199262458299492,0.011023721429631683,0.0013994636295697612,0.00681742363113412,23
1,NEUTRO,13,P8_Beta,bandpower,P8,Beta,,temporal_right,0.03314920081289601,0.12053360621414005,0.02324475744388466,0.09019554948401595,23
1,NEUTRO,14,C4_Alpha,bandpower,C4,Alpha,,other,0.0024999164370764935,0.008443827957300901,-0.0007466771729433225,0.004856159914842502,23
1,NEUTRO,15,C4_Beta,bandpower,C4,Beta,,other,0.022176594763905003,0.046595725633478934,0.009496865618119138,0.028536730311938725,23
1,NEUTRO,16,TP8_Alpha,bandpower,TP8,Alpha,,temporal_right,0.002165979672254298,0.0074065166669387145,0.00047648333940956093,0.0017844093757293333,23
1,NEUTRO,17,TP8_Beta,bandpower,TP8,Beta,,temporal_right,0.011113684428808146,0.019377147846115952,0.0022089302553893776,0.013867101248379811,23
1,NEUTRO,18,T8_Alpha,bandpower,T8,Alpha,,temporal_right,0.009066573755041203,0.027038350037578252,0.004000988728428148,0.013154316214765266,23
1,NEUTRO,19,T8_Beta,bandpower,T8,Beta,,temporal_right,0.016586886637853137,0.03344298645360037,0.0035021982664167214,0.02334256854677847,23
1,NEUTRO,20,P7_Alpha,bandpower,P7,Alpha,,temporal_left,0.005821897441877531,0.018469504123742667,0.0037765851659391624,0.013982414934526137,23
1,NEUTRO,21,P7_Beta,bandpower,P7,Beta,,temporal_left,0.01667045829814268,0.049196045132644285,0.01606866294033835,0.04889528527149936,23
1,NEUTRO,22,P3_Alpha,bandpower,P3,Alpha,,centro_parietal_left,0.014217037152005242,0.04984906066353943,0.0028092208560483063,0.008178388485422365,23
1,NEUTRO,23,P3_Beta,bandpower,P3,Beta,,centro_parietal_left,0.028864265344551356,0.07014778276210813,0.01074611242721385,0.055838963129177945,23
1,NEUTRO,24,CP3_Alpha,bandpower,CP3,Alpha,,temporal_left,0.0028715143999614398,0.010640875342706219,0.0007908998797376652,0.0029556609399942367,23
1,NEUTRO,25,CP3_Beta,bandpower,CP3,Beta,,temporal_left,0.02295708599820475,0.053554739120247496,0.017233092601882636,0.05165423269176035,23
1,NEUTRO,26,CPz_Alpha,bandpower,CPz,Alpha,,parietal_midline,0.007975571379183057,0.024351094155580868,-0.00024567350634987324,0.006981182158262417,23
1,NEUTRO,27,CPz_Beta,bandpower,CPz,Beta,,parietal_midline,0.023303779414128152,0.07106541542274922,0.01651512944827997,0.06870865560845062,23
