class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,CP6,Alpha,temporal_right,0.011438478763665452,-0.0030346813192124408,23
0,JOY,CP6,Beta,temporal_right,0.03425615673087578,0.003484228652424304,23
0,JOY,C6,Alpha,temporal_right,0.0150880782322601,0.009619331387726637,23
0,JOY,C6,Beta,temporal_right,0.05223405785218987,0.03629887522596045,23
0,JOY,PO8,Alpha,occipital,0.005817422855642722,0.0052665787285600145,23
0,JOY,PO8,Beta,occipital,0.03293846330827578,0.02746632029418419,23
0,JOY,PO7,Alpha,occipital,0.08031119870235959,0.06602110567374617,23
0,JOY,PO7,Beta,occipital,0.20112613382676645,0.16563208094917414,23
0,JOY,P5,Alpha,temporal_left,0.0006306265804114912,2.5124429393784908e-05,23
0,JOY,P5,Beta,temporal_left,0.008127187168273603,0.0032067409581124197,23
0,JOY,CP5,Alpha,temporal_left,0.003205349389270476,0.002484201487248706,23
0,JOY,CP5,Beta,temporal_left,0.018243814619806314,0.011812030467605534,23
0,JOY,CP1,Alpha,other,0.0027086268052896457,-0.0012523651902731291,23
0,JOY,CP1,Beta,other,0.020222708041971876,-0.0033544209649160016,23
0,JOY,C1,Alpha,other,0.016830365964469064,0.0011699870874830284,23
0,JOY,C1,Beta,other,0.007433783043160856,0.0014893153386483359,23
0,JOY,C2,Alpha,other,0.012632408777776803,0.009488083557829813,23
0,JOY,C2,Beta,other,0.02577316906792345,0.012887857625503579,23
0,JOY,FC2,Alpha,other,0.0060679545453479825,-0.00038357042617254833,23
0,JOY,FC2,Beta,other,0.008241754478625796,-0.0028205368279373313,23
0,JOY,FC6,Alpha,other,0.012760171625237696,0.007004142048055152,23
0,JOY,FC6,Beta,other,0.025669937034486844,0.02127484103671653,23
0,JOY,C5,Alpha,temporal_left,0.0020888261505820614,0.0011357549574416478,23
0,JOY,C5,Beta,temporal_left,0.006571417068122087,0.002343248713182485,23
0,JOY,FC1,Alpha,other,0.019761760285922417,0.016370841628255084,23
0,JOY,FC1,Beta,other,0.04916910913143605,0.03378283069641859,23
0,JOY,F2,Alpha,frontal_bilateral,0.003977552859055137,0.0032216920394111427,23
0,JOY,F2,Beta,frontal_bilateral,0.022678743421825475,0.019660129177533965,23
0,JOY,F6,Alpha,other,0.01506019788358719,0.01215054162527957,23
0,JOY,F6,Beta,other,0.06609176428055917,0.04309710374562273,23
0,JOY,FC5,Alpha,frontal_inferior_left,0.01390913544455695,0.00830401918920249,23
0,JOY,FC5,Beta,frontal_inferior_left,0.0644801215424845,0.049769662419615134,23
0,JOY,F1,Alpha,frontal_bilateral,0.001158713779546952,0.0004450074945997917,23
0,JOY,F1,Beta,frontal_bilateral,0.007474419085973547,0.002510013328553286,23
0,JOY,AF4,Alpha,frontal_bilateral,0.011500749645804635,0.00112754604037198,23
0,JOY,AF4,Beta,frontal_bilateral,0.04512683027003482,0.019096022653127,23
0,JOY,AF8,Alpha,frontal_bilateral,0.036580055915695964,0.020727041950772004,23
0,JOY,AF8,Beta,frontal_bilateral,0.12534058964265332,0.09806362691593336,23
0,JOY,F5,Alpha,frontal_inferior_left,0.0006118226398380153,0.0005564932112302575,23
0,JOY,F5,Beta,frontal_inferior_left,0.053550939458702644,0.04550660800503856,23
0,JOY,AF7,Alpha,frontal_bilateral,0.05460486121068055,0.05140264464744205,23
0,JOY,AF7,Beta,frontal_bilateral,0.20214776654112332,0.17967091680038078,23
0,JOY,AF3,Alpha,frontal_bilateral,0.001993179749823376,0.0004969375303352134,23
0,JOY,AF3,Beta,frontal_bilateral,0.024344166628625524,0.01897843457033965,23
0,JOY,Fpz,Alpha,frontal_bilateral,0.026883993569990855,0.018194836807021452,23
0,JOY,Fpz,Beta,frontal_bilateral,0.09321672428260676,0.07617282717859555,23
1,NEUTRO,O2,Alpha,occipital,0.02159500365295499,0.010871359031142674,23
1,NEUTRO,O2,Beta,occipital,0.04794850858405048,0.02047616743867056,23
1,NEUTRO,O1,Alpha,occipital,0.010392725377614726,0.005362315889815041,23
1,NEUTRO,O1,Beta,occipital,0.05475167583506963,0.0346492208074672,23
1,NEUTRO,Oz,Alpha,occipital,0.014105690918683139,0.00540110448487378,23
1,NEUTRO,Oz,Beta,occipital,0.06543675711980575,0.04070168479641123,23
1,NEUTRO,Pz,Alpha,parietal_midline,0.0462619229424631,0.0424759871869475,23
1,NEUTRO,Pz,Beta,parietal_midline,0.11059770745525027,0.10663640686219397,23
1,NEUTRO,P4,Alpha,other,0.0026205371477722545,0.0011347299983323303,23
1,NEUTRO,P4,Beta,other,0.01228060974759348,0.006292552836138745,23
1,NEUTRO,CP4,Alpha,temporal_right,0.0013997130059705874,0.0004864886394610042,23
1,NEUTRO,CP4,Beta,temporal_right,0.013318013727657906,0.007118352035494343,23
1,NEUTRO,P8,Alpha,temporal_right,0.004199262458299492,0.0013994636295697612,23
1,NEUTRO,P8,Beta,temporal_right,0.03314920081289601,0.02324475744388466,23
1,NEUTRO,C4,Alpha,other,0.0024999164370764935,-0.0007466771729433225,23
1,NEUTRO,C4,Beta,other,0.022176594763905003,0.009496865618119138,23
1,NEUTRO,TP8,Alpha,temporal_right,0.002165979672254298,0.00047648333940956093,23
1,NEUTRO,TP8,Beta,temporal_right,0.011113684428808146,0.0022089302553893776,23
1,NEUTRO,T8,Alpha,temporal_right,0.009066573755041203,0.004000988728428148,23
1,NEUTRO,T8,Beta,temporal_right,0.016586886637853137,0.0035021982664167214,23
1,NEUTRO,P7,Alpha,temporal_left,0.005821897441877531,0.0037765851659391624,23
1,NEUTRO,P7,Beta,temporal_left,0.01667045829814268,0.01606866294033835,23
1,NEUTRO,P3,Alpha,centro_parietal_left,0.014217037152005242,0.0028092208560483063,23
1,NEUTRO,P3,Beta,centro_parietal_left,0.028864265344551356,0.01074611242721385,23
1,NEUTRO,CP3,Alpha,temporal_left,0.0028715143999614398,0.0007908998797376652,23
1,NEUTRO,CP3,Beta,temporal_left,0.02295708599820475,0.017233092601882636,23
1,NEUTRO,CPz,Alpha,parietal_midline,0.007975571379183057,-0.00024567350634987324,23
1,NEUTRO,CPz,Beta,parietal_midline,0.023303779414128152,0.01651512944827997,23
1,NEUTRO,Cz,Alpha,parietal_midline,0.02360703797480982,0.008128481973960574,23
